AggregationCode,HimoGenreCode,SpeedBigGenreCode,HimoBigGenreName,SpeedMiddleGenreCode,HimoMiddleGenreName
W149,EXT0000005F2,25,洋画アクション,0031,戦争
W149,EXT00000054W,25,洋画アクション,0031,戦争
W149,EXT000073XXQ,25,洋画アクション,0031,戦争
W150,EXT0000003TN,25,洋画アクション,0032,西部劇
W150,EXT000073XXT,25,洋画アクション,0032,西部劇
W151,EXT00000047I,25,洋画アクション,0033,アクション
W151,EXT000000ABJ,25,洋画アクション,0033,アクション
W151,EXT00000050W,25,洋画アクション,0033,アクション
W151,EXT000000663,25,洋画アクション,0033,アクション
W151,EXT000000A8M,25,洋画アクション,0033,アクション
W151,EXT0000002H9,25,洋画アクション,0033,アクション
W151,EXT00000034G,25,洋画アクション,0033,アクション
W151,EXT0000004G0,25,洋画アクション,0033,アクション
W151,EXT0000007H0,25,洋画アクション,0033,アクション
W151,EXT00000018S,25,洋画アクション,0033,アクション
W151,EXT000000NAA,25,洋画アクション,0033,アクション
W151,EXT0000005L0,25,洋画アクション,0033,アクション
W151,EXT000073XWK,25,洋画アクション,0033,アクション
W151,EXT000001E55,25,洋画アクション,0033,アクション
W151,EXT000073XXX,25,洋画アクション,0033,アクション
W152,EXT00001TAWW,26,アジア,0000,ドラマ
W153,EXT000073XY2,26,アジア,0001,ドラマ
W154,EXT00001T89Z,26,アジア,0002,ドラマ
W155,EXT00001TABJ,26,アジア,0003,ホラー
W156,EXT00001TIAN,26,アジア,0004,ホラー
W157,EXT00001TR49,26,アジア,0005,ドラマ
W158,EXT00001TV0A,26,アジア,0006,ホラー
W159,EXT00001T7UR,26,アジア,0007,アクション
W160,EXT00001T8S1,26,アジア,0008,アクション
W161,EXT00001THAF,26,アジア,0009,アクション
W162,EXT000073XYV,27,アジアＴＶドラマ,0000,0
W163,EXT00001T1NQ,27,アジアＴＶドラマ,0001,韓国
W164,EXT00001T9CQ,27,アジアＴＶドラマ,0002,中国
W165,EXT00001TBPT,27,アジアＴＶドラマ,0003,その他アジア
W166,EXT0000001N5,27,アジアＴＶドラマ,0031,TVドラマ
W167,EXT000000NW3,27,アジアＴＶドラマ,0032,時代劇
W168,EXT0000001R7,27,アジアＴＶドラマ,0099,その他
W169,EXT0000002JG,28,洋画ドラマ,0031,ドラマ
W169,EXT0000001DS,28,洋画ドラマ,0031,ドラマ
W169,EXT000000272,28,洋画ドラマ,0031,ドラマ
W169,EXT0000003WE,28,洋画ドラマ,0031,ドラマ
W169,EXT00000066H,28,洋画ドラマ,0031,ドラマ
W169,EXT0000002AJ,28,洋画ドラマ,0031,ドラマ
W169,EXT000000FO6,28,洋画ドラマ,0031,ドラマ
W169,EXT0000003Z8,28,洋画ドラマ,0031,ドラマ
W169,EXT0000002ZW,28,洋画ドラマ,0031,ドラマ
W169,EXT000000E43,28,洋画ドラマ,0031,ドラマ
W169,EXT0000004N0,28,洋画ドラマ,0031,ドラマ
W169,EXT000073XZE,28,洋画ドラマ,0031,ドラマ
W169,EXT000073Y0J,28,洋画ドラマ,0031,ドラマ
W170,EXT0000001MF,28,洋画ドラマ,0032,ミステリー
W170,EXT000073Y0N,28,洋画ドラマ,0032,ミステリー
W171,EXT0000005JD,28,洋画ドラマ,0033,エロティック
W171,EXT000073Y0Q,28,洋画ドラマ,0033,エロティック
W172,EXT0000001IG,28,洋画ドラマ,0034,ラブストーリー
W172,EXT0000087EL,28,洋画ドラマ,0034,ラブストーリー
W173,EXT0000002EP,28,洋画ドラマ,0035,コメディ
W173,EXT000073Y0V,28,洋画ドラマ,0035,コメディ
W174,EXT000000549,29,海外ＴＶドラマ,0031,TVドラマ
W174,EXT0000004E0,29,海外ＴＶドラマ,0031,TVドラマ
W174,EXT0000009MO,29,海外ＴＶドラマ,0031,TVドラマ
W174,EXT000000E8Z,29,海外ＴＶドラマ,0031,TVドラマ
W174,EXT000000BZO,29,海外ＴＶドラマ,0031,TVドラマ
W174,EXT000003WWI,29,海外ＴＶドラマ,0031,TVドラマ
W174,EXT000073Y13,29,海外ＴＶドラマ,0031,TVドラマ
W174,EXT000073Y1J,29,海外ＴＶドラマ,0031,TVドラマ
W175,EXT00000022W,30,洋画ホラー,0031,ホラー
W175,EXT0000003JB,30,洋画ホラー,0031,ホラー
W175,EXT000000D9O,30,洋画ホラー,0031,ホラー
W175,EXT000001T0Z,30,洋画ホラー,0031,ホラー
W175,EXT000073Y1Q,30,洋画ホラー,0031,ホラー
W175,EXT000001ORO,30,洋画ホラー,0031,ホラー
W175,EXT000000HSR,30,洋画ホラー,0031,ホラー
W175,EXT00000073P,30,洋画ホラー,0031,ホラー
W175,EXT000073Y27,30,洋画ホラー,0031,ホラー
W176,EXT000000AW4,33,洋画ＳＦ,0031,SF
W176,EXT0000009PF,33,洋画ＳＦ,0031,SF
W176,EXT0000002S8,33,洋画ＳＦ,0031,SF
W176,EXT000000BR4,33,洋画ＳＦ,0031,SF
W176,EXT0000002GL,33,洋画ＳＦ,0031,SF
W176,EXT000002H37,33,洋画ＳＦ,0031,SF
W176,EXT000073Y2D,33,洋画ＳＦ,0031,SF
W176,EXT000073Y2T,33,洋画ＳＦ,0031,SF
W177,EXT0000002EM,35,邦画アクション,0031,アクション
W177,EXT0000007HR,35,邦画アクション,0031,アクション
W177,EXT0000006ZU,35,邦画アクション,0031,アクション
W177,EXT000073Y2Z,35,邦画アクション,0031,アクション
W177,EXT0000002I5,35,邦画アクション,0031,アクション
W177,EXT000000K00,35,邦画アクション,0031,アクション
W177,EXT00000016D,35,邦画アクション,0031,アクション
W177,EXT000073Y3I,35,邦画アクション,0031,アクション
W178,EXT0000006LS,35,邦画アクション,0032,時代劇
W178,EXT00001T2NO,35,邦画アクション,0032,時代劇
W179,EXT00001T0Z8,38,邦画ドラマ,0008,ＴＶドラマ劇場版
W180,EXT00000014S,38,邦画ドラマ,0031,ドラマ
W180,EXT0000001BN,38,邦画ドラマ,0031,ドラマ
W180,EXT00000048E,38,邦画ドラマ,0031,ドラマ
W180,EXT0000001EH,38,邦画ドラマ,0031,ドラマ
W180,EXT000000CCZ,38,邦画ドラマ,0031,ドラマ
W180,EXT0000006DB,38,邦画ドラマ,0031,ドラマ
W180,EXT000073Y3S,38,邦画ドラマ,0031,ドラマ
W180,EXT000000R87,38,邦画ドラマ,0031,ドラマ
W180,EXT0000113AS,38,邦画ドラマ,0031,ドラマ
W181,EXT0000005ZE,38,邦画ドラマ,0032,サスペンス／ミステリー
W181,EXT000073Y4T,38,邦画ドラマ,0032,サスペンス/ミステリー
W182,EXT00000018D,38,邦画ドラマ,0033,恋愛
W182,EXT000073Y4Y,38,邦画ドラマ,0033,恋愛
W183,EXT000000566,38,邦画ドラマ,0034,エロティック
W183,EXT000073Y54,38,邦画ドラマ,0034,エロティック
W184,EXT00001T0Y8,39,邦画ＴＶドラマ,0031,TVドラマ
W184,EXT000073Y5E,39,邦画ＴＶドラマ,0031,TVドラマ
W184,EXT00000B35F,39,邦画ＴＶドラマ,0031,TVドラマ
W184,EXT00001T0XB,39,邦画ＴＶドラマ,0031,TVドラマ
W184,EXT00001T8QY,39,邦画ＴＶドラマ,0031,TVドラマ
W184,EXT00001TBQX,39,邦画ＴＶドラマ,0031,TVドラマ
W184,EXT00001U136,39,邦画ＴＶドラマ,0031,TVドラマ
W184,EXT00001U143,39,邦画ＴＶドラマ,0031,TVドラマ
W184,EXT00001U157,39,邦画ＴＶドラマ,0031,TVドラマ
W184,EXT00001U174,39,邦画ＴＶドラマ,0031,TVドラマ
W184,EXT00001U27V,39,邦画ＴＶドラマ,0031,TVドラマ
W184,EXT00001UEC3,39,邦画ＴＶドラマ,0031,TVドラマ
W184,EXT00001UENW,39,邦画ＴＶドラマ,0031,TVドラマ
W184,EXT000021YKD,39,邦画ＴＶドラマ,0031,TVドラマ
W184,EXT000073Y5H,39,邦画ＴＶドラマ,0031,TVドラマ
W184,EXT000073Y64,39,邦画ＴＶドラマ,0031,TVドラマ
W184,EXT000073Y6V,39,邦画ＴＶドラマ,0031,TVドラマ
W184,EXT000073Y77,39,邦画ＴＶドラマ,0031,TVドラマ
W184,EXT000073Y7B,39,邦画ＴＶドラマ,0031,TVドラマ
W184,EXT000073Y7N,39,邦画ＴＶドラマ,0031,TVドラマ
W184,EXT0000000UA,39,邦画ＴＶドラマ,0031,TVドラマ
W185,EXT000000DP9,39,邦画ＴＶドラマ,0032,TVドラマ劇場版
W186,EXT00000099L,39,邦画ＴＶドラマ,0033,時代劇
